episode,seed,success,steps,reward,target_x,target_y,final_torso_x,final_torso_y,final_dx,final_dy,final_distance,min_distance,max_torso_x,waypoints_completed,route_complete,max_goal_hold_count
0,1000,False,900,62.435699832510814,9.590632438659668,0.550000011920929,8.667853765715432,0.8767790133090435,-0.9227790832519531,0.32677900791168213,0.9789309501647949,0.6456457376480103,8.957816532693212,0,False,0
1,1001,False,900,64.69880295003999,9.763930320739746,0.550000011920929,8.746786274296369,0.8777688576858513,-1.0171442031860352,0.32776886224746704,1.0686509609222412,0.7916913628578186,8.982754460922223,0,False,0
2,1002,True,787,194.93930531714278,9.323559761047363,0.550000011920929,8.956066055223534,0.6781053648896596,-0.3674936294555664,0.12810534238815308,0.38918188214302063,0.38918188214302063,8.956066055223534,0,False,10
3,1003,True,741,191.5076622473632,8.95673942565918,0.550000011920929,8.88201636937066,0.7301588129994889,-0.0747232437133789,0.180158793926239,0.19504038989543915,0.19504038989543915,8.897120229983555,0,False,10
4,1004,True,736,179.38264236979848,8.601673126220703,0.550000011920929,8.853530347448864,0.7273774199151869,0.25185680389404297,0.17737740278244019,0.30804964900016785,0.18632033467292786,8.853530347448864,0,False,10
5,1005,True,738,185.27602688893603,8.756216049194336,0.550000011920929,8.892859611348388,0.7391216050054732,0.1366434097290039,0.18912160396575928,0.23332038521766663,0.14801982045173645,8.892859611348388,0,False,10
6,1006,True,776,194.42362720860925,9.240150451660156,0.550000011920929,8.932789128387784,0.6829071114870703,-0.3073616027832031,0.13290709257125854,0.33486631512641907,0.33486631512641907,8.934975237426432,0,False,10
7,1007,True,738,184.3779327953057,8.73532772064209,0.550000011920929,8.892547417498252,0.7389968273742837,0.15721988677978516,0.1889967918395996,0.24584117531776428,0.14864757657051086,8.892547417498252,0,False,10
8,1008,True,740,190.6842027298071,8.917779922485352,0.550000011920929,8.908386778191199,0.7392409265164663,-0.009392738342285156,0.1892409324645996,0.18947388231754303,0.18644006550312042,8.909096947117622,0,False,10
9,1009,True,738,183.12713944469843,8.707350730895996,0.550000011920929,8.892339497409084,0.7389187791826151,0.18498897552490234,0.18891876935958862,0.26440730690956116,0.14780035614967346,8.892339497409084,0,False,10
10,1010,True,739,186.12400007687376,8.780485153198242,0.550000011920929,8.900142101361373,0.7402677184337854,0.11965656280517578,0.1902676820755005,0.22476539015769958,0.1465725153684616,8.900142101361373,0,False,10
11,1011,True,743,192.741820776005,9.139837265014648,0.550000011920929,8.883494879787158,0.7234092053941712,-0.25634193420410156,0.17340916395187378,0.3094865381717682,0.28890714049339294,8.924741652411875,0,False,10
12,1012,True,743,192.2087420164436,9.182008743286133,0.550000011920929,8.8612327570076,0.7189106614007663,-0.32077598571777344,0.16891062259674072,0.36253005266189575,0.3341079652309418,8.908542874618139,0,False,10
13,1013,False,900,64.24652246486113,10.109536170959473,0.550000011920929,8.741335175387608,0.8834003532788779,-1.3682012557983398,0.3334003686904907,1.4082366228103638,1.1323882341384888,8.984452777596202,0,False,0
14,1014,False,900,65.51250897088687,9.427495956420898,0.550000011920929,8.767917600482017,0.8724454573161956,-0.6595783233642578,0.32244545221328735,0.7341761589050293,0.476650595664978,8.968309272138208,0,False,0
15,1015,True,780,194.42826836332026,9.283815383911133,0.550000011920929,8.935858405584298,0.6818873892112272,-0.34795665740966797,0.13188737630844116,0.37211304903030396,0.3684312701225281,8.941349209558702,0,False,10
16,1016,True,742,192.5784274325784,9.033184051513672,0.550000011920929,8.90311560910649,0.7329431699145676,-0.13006877899169922,0.1829431653022766,0.22446845471858978,0.22176334261894226,8.92394269100941,0,False,10
17,1017,False,900,64.42340941916352,10.344868659973145,0.550000011920929,8.752638847530667,0.8863324077786046,-1.5922298431396484,0.33633238077163696,1.6273645162582397,1.3298698663711548,9.021230993975998,0,False,0
18,1018,False,900,64.86876203377496,9.728553771972656,0.550000011920929,8.751321384489465,0.8770192726321632,-0.9772319793701172,0.32701927423477173,1.0304969549179077,0.7465678453445435,8.993378713323132,0,False,0
19,1019,True,741,192.3319174960983,9.012161254882812,0.550000011920929,8.903623913672554,0.7355362909590523,-0.10853767395019531,0.18553626537322998,0.21495147049427032,0.21469444036483765,8.910843637693688,0,False,10
20,1020,False,900,63.746827417084305,9.699530601501465,0.550000011920929,8.713818394446058,0.8771288428378925,-0.9857120513916016,0.3271288275718689,1.0385767221450806,0.7352489233016968,8.975777183781434,0,False,0
21,1021,True,781,194.57889945782148,9.3113374710083,0.550000011920929,8.942682638388632,0.6815450905219615,-0.3686552047729492,0.1315450668334961,0.39142146706581116,0.39142146706581116,8.942682638388632,0,False,10
22,1022,True,736,179.35058842440577,8.601000785827637,0.550000011920929,8.853528537459818,0.7273783727903355,0.25252819061279297,0.1773783564567566,0.3085993528366089,0.1867341697216034,8.853528537459818,0,False,10
23,1023,True,775,194.36301195121365,9.243851661682129,0.550000011920929,8.931947690007357,0.6861135863690389,-0.3119039535522461,0.13611358404159546,0.34031012654304504,0.3299783766269684,8.946738600188706,0,False,10
24,1024,True,744,191.47569483869324,9.212677955627441,0.550000011920929,8.830339369067232,0.7031509975744386,-0.3823385238647461,0.15315097570419312,0.4118713140487671,0.35976022481918335,8.908512873774525,0,False,10
25,1025,False,900,64.14479817268943,10.160122871398926,0.550000011920929,8.739319214204984,0.8837484041946745,-1.4208040237426758,0.33374840021133423,1.4594765901565552,1.17388117313385,8.993299553983963,0,False,0
26,1026,True,740,190.81570581579075,8.924400329589844,0.550000011920929,8.926696133698002,0.7406903594557221,0.0022954940795898438,0.19069033861160278,0.19070415198802948,0.18433715403079987,8.926696133698002,0,False,10
27,1027,True,737,181.05636852062605,8.653151512145996,0.550000011920929,8.877470891062956,0.7349863922080171,0.2243194580078125,0.18498635292053223,0.2907561957836151,0.16041061282157898,8.877470891062956,0,False,10
