episode,seed,success,steps,reward,target_x,target_y,final_torso_x,final_torso_y,final_dx,final_dy,final_distance,min_distance,max_torso_x,waypoints_completed,route_complete,max_goal_hold_count
0,8000,True,299,227.80444936768336,10.198107719421387,0.550000011920929,10.094683429352965,0.803428083196915,-0.103424072265625,0.25342804193496704,0.2737194001674652,0.2737194001674652,10.094683429352965,0,False,10
1,8001,True,337,226.23110446010386,10.32300090789795,0.550000011920929,10.092049993986366,0.9823671916969045,-0.23095130920410156,0.432367205619812,0.4901835322380066,0.3587717115879059,10.092049993986366,0,False,10
2,8002,True,228,218.4898262062743,10.100468635559082,0.550000011920929,9.72017579897657,0.9194534634414424,-0.3802928924560547,0.36945343017578125,0.5302060842514038,0.5086764693260193,9.753285427833456,0,False,10
3,8003,True,430,229.469775519025,10.381758689880371,0.550000011920929,10.115976081497505,0.8763072980727948,-0.26578235626220703,0.3263072967529297,0.4208523631095886,0.40330636501312256,10.115976081497505,0,False,10
4,8004,False,900,23.853403634783756,10.224424362182617,0.550000011920929,6.317118149926098,0.9551674090796658,-3.90730619430542,0.4051674008369446,3.9282569885253906,3.8230667114257812,6.481440319236174,0,False,0
5,8005,False,900,13.789096890304432,10.473158836364746,0.550000011920929,5.153117730580733,1.2289348058553764,-5.320041179656982,0.6789347529411316,5.36318826675415,4.631292343139648,5.96851574640109,0,False,0
6,8006,False,900,21.879307371461287,10.106523513793945,0.550000011920929,6.12141464256203,1.1164713821514365,-3.9851088523864746,0.5664713978767395,4.025168418884277,3.707019090652466,6.476835047622631,0,False,0
7,8007,False,900,16.009008765763177,10.218693733215332,0.550000011920929,5.18189422684036,1.1400101480002194,-5.036799430847168,0.5900101065635681,5.0712385177612305,4.2956953048706055,5.9642138027774445,0,False,0
8,8008,True,887,218.6704313101627,10.122730255126953,0.550000011920929,10.069205322844063,0.9248581773859078,-0.05352497100830078,0.37485814094543457,0.3786602020263672,0.3643137514591217,10.069205322844063,0,False,10
9,8009,False,900,24.034282628742,10.398696899414062,0.550000011920929,6.258858354170536,0.995739786277767,-4.139838695526123,0.44573974609375,4.163765907287598,4.053671836853027,6.417129050446062,0,False,0
10,8010,False,900,18.042714160404163,10.4642915725708,0.550000011920929,5.529597222244048,1.6564776731024804,-4.934694290161133,1.1064777374267578,5.057222843170166,5.002961158752441,5.586689231667298,0,False,0
11,8011,False,900,12.73784505372382,10.455221176147461,0.550000011920929,4.711267947907293,0.8373719739092788,-5.743953227996826,0.2873719334602356,5.7511372566223145,4.675381660461426,5.815740901892157,0,False,0
12,8012,False,900,6.272267658194322,10.107776641845703,0.550000011920929,3.9076190236241977,0.7190517763632586,-6.200157642364502,0.16905176639556885,6.2024617195129395,4.18937349319458,5.967928750197448,0,False,0
13,8013,True,249,230.65201311785074,10.287163734436035,0.550000011920929,9.99310206319735,0.6937999797003731,-0.29406166076660156,0.14379996061325073,0.3273387849330902,0.30247920751571655,10.002029251617055,0,False,10
14,8014,False,900,23.499985711473066,10.484314918518066,0.550000011920929,6.269343531205199,0.9510011797267987,-4.214971542358398,0.4010011553764343,4.23400354385376,4.153048992156982,6.3503293591982235,0,False,0
15,8015,False,900,22.658446143706804,10.125371932983398,0.550000011920929,6.159012963901355,1.12028508098451,-3.9663591384887695,0.5702850222587585,4.007147312164307,3.8108162879943848,6.3372451693863825,0,False,0
